Benchmark / Test Suite,Condition / Model Name,Intervention / Modality,Evaluation Scope,Task Name / Metric,Sample Size (N),Denominator Exclusions,Historical Reported Compliance (%),Strict Binary Pass (%),Defined Partial Compliance (%),Delta (pp),Statistical Uncertainty (Clustered SE / 95% CI),p-value,Mean Tokens,Audit Status & Scientific Verdict
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,third_person,50,None,86.07,4.0,86.07,Ref,"SE: 3.12, 95% CI: [79.8, 92.3]",Ref,632.4,VALIDATED (Individual Task)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,third_person,50,None,94.93,84.0,94.93,+8.86,"Paired SE: 2.47, 95% CI: [+3.91, +13.81]",0.00075,446.1,VALIDATED (Statistically Significant)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,end_of_sentence,50,None,0.6,0.0,2.54,Ref,"SE: 0.98, 95% CI: [0.6, 4.5]",Ref,608.1,VALIDATED (Individual Task)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,end_of_sentence,50,None,32.14,16.0,40.97,+38.43,"Paired SE: 5.36, 95% CI: [+27.65, +49.21]",3.67e-09,422.9,VALIDATED (Statistically Significant)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,meow_between_words,50,None,32.17,0.0,32.17,Ref,"SE: 4.82, 95% CI: [22.5, 41.8]",Ref,614.7,VALIDATED (Strict Binary 0.0%)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,meow_between_words,50,None,71.99,0.0,71.99,+39.83,"Paired SE: 6.74, 95% CI: [+26.28, +53.37]",3.22e-07,464.9,VALIDATED (Strict Binary 0.0%)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,repeat_sentences,50,None,0.0,0.0,0.0,Ref,"SE: 0.0, 95% CI: [0.0, 0.0]",Ref,763.8,VALIDATED (Strict Binary 0.0%)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,repeat_sentences,50,None,7.44,0.0,26.0,+26.00,"Paired SE: 3.57, 95% CI: [+18.83, +33.17]",2.4e-09,270.6,VALIDATED (Closing Match: 26/50 = 13.0 pts)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,arrow_prefix,50,None,0.0,0.0,0.0,Ref,"SE: 0.0, 95% CI: [0.0, 0.0]",Ref,885.9,VALIDATED (Transfer Failure)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,arrow_prefix,50,None,0.0,0.0,0.0,+0.00,"Paired SE: 0.0, 95% CI: [+0.00, +0.00]",NA,389.5,VALIDATED (Transfer Failure)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,word_suppression (Prompted Keyword),50,None,0.0,46.0,46.0,Ref,"SE: 7.12, 95% CI: [31.7, 60.3]",Ref,881.9,VALIDATED (Actual Prompt Instruction)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,word_suppression (Prompted Keyword),50,None,34.0,68.0,68.0,+22.00,"Paired SE: 8.71, 95% CI: [+4.50, +39.50]",0.0148,373.7,VALIDATED (Actual Prompt Instruction)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,alternating_case,50,None,10.91,0.0,10.91,Ref,"SE: 1.15, 95% CI: [8.6, 13.2]",Ref,622.4,VALIDATED (Character Task)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,alternating_case,50,None,13.01,0.0,13.01,+2.10,"Paired SE: 1.84, 95% CI: [-1.59, +5.78]",0.2588,299.1,VALIDATED (Not Statistically Significant)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,uppercase_thinking,50,None,0.87,0.0,0.87,Ref,"SE: 0.45, 95% CI: [0.0, 1.8]",Ref,790.8,VALIDATED (Character Task)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,uppercase_thinking,50,None,62.99,8.0,62.99,+62.12,"Paired SE: 5.30, 95% CI: [+51.46, +72.77]",8.07e-16,408.3,VALIDATED (Character Task)
Haskins Main Controllability,Qwen3-14B Base,None (Baseline),Full Reasoning,lowercase_thinking,50,None,5.26,2.0,5.26,Ref,"SE: 1.48, 95% CI: [2.3, 8.2]",Ref,797.2,VALIDATED (Character Task)
Haskins Main Controllability,Qwen3-14B LoRA (GPT-5.2 Short),LoRA (All-Linear),Full Reasoning,lowercase_thinking,50,None,84.45,50.0,84.45,+79.19,"Paired SE: 4.44, 95% CI: [+70.27, +88.10]",4.42e-23,397.2,VALIDATED (Character Task)
