Source_Task,Model,Questions,Instruction_Following,Answer_Accuracy,Joint_Success,Mean_Tokens
aime,Base Qwen3-14B,61,0.0983606557377049,0.7213114754098361,0.081967213114754,10336.573770491805
amc,Base Qwen3-14B,54,0.1666666666666666,0.8888888888888888,0.1666666666666666,5573.814814814815
gsm8k,Base Qwen3-14B,53,0.2641509433962264,0.9622641509433962,0.2641509433962264,475.33962264150944
arc,Base Qwen3-14B,59,0.0677966101694915,0.9322033898305084,0.0677966101694915,454.0
gpqa,Base Qwen3-14B,73,0.0684931506849315,0.6712328767123288,0.0410958904109589,3660.424657534247
aime,SFT: GPT-5.2 Short,61,0.1967213114754098,0.4590163934426229,0.0491803278688524,5706.213114754099
amc,SFT: GPT-5.2 Short,54,0.2037037037037037,0.7407407407407407,0.1296296296296296,2887.185185185185
gsm8k,SFT: GPT-5.2 Short,53,0.4528301886792453,0.8679245283018868,0.3584905660377358,248.81132075471697
arc,SFT: GPT-5.2 Short,59,0.4406779661016949,0.864406779661017,0.3898305084745763,289.5593220338983
gpqa,SFT: GPT-5.2 Short,73,0.3698630136986301,0.4246575342465753,0.136986301369863,998.0
aime,SFT: GPT-5.2 Long,61,0.1639344262295081,0.5245901639344263,0.0491803278688524,8558.377049180328
amc,SFT: GPT-5.2 Long,54,0.2592592592592592,0.8148148148148148,0.2407407407407407,4734.222222222223
gsm8k,SFT: GPT-5.2 Long,53,0.2452830188679245,1.0,0.2452830188679245,407.0377358490566
arc,SFT: GPT-5.2 Long,59,0.1016949152542373,0.9491525423728814,0.1016949152542373,491.864406779661
gpqa,SFT: GPT-5.2 Long,73,0.2054794520547945,0.5616438356164384,0.1095890410958904,2605.6849315068494
aime,OpenAI GPT-OSS-20B,61,0.0655737704918032,0.5737704918032787,0.0,5512.540983606557
amc,OpenAI GPT-OSS-20B,54,0.1296296296296296,0.8148148148148148,0.074074074074074,4111.185185185185
gsm8k,OpenAI GPT-OSS-20B,53,0.2641509433962264,0.9622641509433962,0.2452830188679245,1893.132075471698
arc,OpenAI GPT-OSS-20B,59,0.2542372881355932,0.9661016949152542,0.2372881355932203,2042.915254237288
gpqa,OpenAI GPT-OSS-20B,73,0.1232876712328767,0.5616438356164384,0.0958904109589041,3995.232876712329
